source_id,reply_id,argument,claim,evidence,unverifiable_claim,verifiable_claim,reason,external_evidence,internal_evidence,sarcasm,toxic_language,text_x,text_y
1179324740290437120,1179329609533399040,1,1,0,1,1,0,0,0,1,0,"@KohlerTob @Philaux @Luisamneubauer Keine Sorge, die Welt geht nicht unter. Das Klima ändert sich stetig. Ich bin ein paar Jahre älter und habe schon versch. Weltuntergangs-Hysterien miterlebt: Sauerer Regen, Waldsterben, Ozonloch. Lasst euch nicht von Linksextremisten für deren pol. Agenda vor den Karren spannen.",
1177800608633495552,1177939568957542400,1,1,1,1,1,0,1,0,0,0,,"@MichaelBauer218 @spdbt Ich kann da nur Mais Video empfehlen: https://t.co/vFlgBF3B4R
Die Wissenschaftler haben genaue und sozialverträgliche Pakete geschnürt, Stichwort Klima-Dividende, die Politik muss es nur noch umsetzen. 
Selbst Wirtschaftsminister Altmaier hat einen Preis von 35€/t vorgeschlagen"
1178652466688282624,1178672519349460992,1,1,0,1,1,0,0,0,0,0,"@josef_lang @C_Emcke @tagesanzeiger @NZZ @NZZaS @claudia_blumer Also, ich find den Emcke-Beitrag auch prima, aber er ist, π mal Handgelenk, ein Drittel so lang wie der „Kurzbeitrag“ über Greta in der @NZZaS..",@thomas_ley @C_Emcke @tagesanzeiger @NZZ @NZZaS @claudia_blumer Die Emcke-These wandte ich auf die Berichterstattung zur Berner Demo an. (Das ist DAS Klima-CH-Politikum drei Wochen vor den CH-Wahlen.) Die Demo wird von der NZZ auffällig stiefmütterlich behandelt. MfG JL
1177195856665153536,1177196648918859776,1,1,1,1,1,0,1,0,0,0,,"@Antiaktivist1 @klima_allianz @ConstZerger Das Klimaabkommen von Paris verpflichtet die globale Staatengemeinschaft zu #CO2 Da müssen alle mitmachen. Und schauen Sie mal: Die Abholzung des Regenwaldes ist ein großes Thema für uns: 
https://t.co/V8813rIvIo"
1179841091740344321,1179843596360540162,1,1,1,1,1,0,1,0,0,0,,
1177665284024541189,1177672553097248769,1,1,0,1,1,0,0,0,0,0,"6/6 Wie reagiert das Parteiensystem? Ist das ansatzweise verarbeitet bislang? Vielleicht nicht mal bei Grünen, ganz sicher nicht bei Union, SPD, FDP. Warten wir ab, ob nach Ende von Dürre und Klimakabinett diese Dominanz bleibt. Falls ja, werden viele Regeln neu geschrieben.",
1178785153050664961,1179000440492560385,1,1,1,1,1,0,1,0,0,0,,"@pip_news @alexfischer @nimmdenbus Aber ECHTE Klimaforscher sagen das Greta recht hat und das wir schon vor Jahren etwas hätten tun müssen, also mal Kopf aus dem Arsch ziehen und was tun statt ein Mädchen zu verteufeln. BTW Forscher sagen seit gut 20 Jahren dass das Klima in Gefahr ist wenn wir weiter machen"
1179465650210824192,1179478058631417857,1,1,0,1,1,0,0,0,0,0,,"@RainerBolle @ddominik10 @OliverJanich @TeamKenFM Wäre ja ganz witzig, wenn zumindest die Zahlen stimmen würden und nicht ständig das globale mit dem lokalen Klima verglichen werden würde. Und nicht alles schon so oft widerlegt worden wäre... Nette Schularbeit, da können solche Fehler passieren."
1179170375520997378,1179284301097164805,1,1,1,0,1,0,1,0,0,0,,"@Sonnen_Blume_ @Teich9 @TanjaSnow4 @ralftsch @gerhard_kramm @KsteinDr @OliverJanich Folgt man dem Link, ist eine der ersten Behauptungen, es gäbe ""keine Korrelation zwischen Temperatur und Kohlendioxid"". Das hatten wir hier bereits widerlegt: https://t.co/FyW56Dtzql. Auf Sachargumente wird aber nicht reagiert, sonst könnte die Falschaussage nun behoben werden."
1177137731241160704,1177142595413258241,1,1,1,0,1,1,0,0,0,0,,
1176952709095854080,1176953353529692160,1,1,0,1,1,0,0,0,0,0,,"@sebseb7 @welt #Krieg UND #Klimawandel sind menschengemacht. Das #Klima ändert sich natürlich ständig, aber nicht so rasant wie jetzt, so dass wir Menschen uns dieser Veränderung gar nicht anpassen können."
1177226327801417729,1177232537514627072,1,1,1,0,1,0,1,0,0,0,"@KonProg 10% von Schleswig-Holstein sind oder waren Moore. 

Bewirtschaftet ist die Trocken-Emission bei 75 t pro Jahr und Hektar (100x100m).

Größtes Problem wäre der Rückkauf, da sich die meisten in Privatbesitz befinden. (Finanzproblem!) https://t.co/suUcRDF2ab","@KonProg Pro Deutschem ist also ca. 1 ha Wald mit 1000 Bäumen nötig.

Pro Hektar Moor, dass nicht vom Staat zurück gekauft und rückbefeuchtet wird, werden 6,5 ha Wald als Ausgleich benötigt.

Für komplette Klima-Neutralität aufzuforsten:

820.000 Quadratkilometer Wald für 82 Mio. Deutsche https://t.co/jZaeiMfCGk"
1179368584646148097,1179369211170377732,1,1,0,0,1,0,0,0,1,0,,"@RoteMamba Weil das die Verderblichkeit von Lebensmitteln bei dem warmen Klima etwas mindert. Gut für dich, dass der Kühlschrank existiert xD"
